run_index,run_key,category,condition_name,attack,defense,split_name,optimizer_name,protected_attr,seed,stopped_reason,finished_round,total_duration_sec,final_val_accuracy,final_val_demographic_parity_gap,final_val_equalized_odds_gap
38,r038__A4_only__split_iid__opt_adamw__attr_race_bin__seed_42,attack_only,A4_only,A4,none,iid,adamw,race_bin,42,completed,30,240.06884360313416,0.8990154711673699,0.08139631549802062,0.16039889304096455
39,r039__A4_only__split_iid__opt_fedprox__attr_race_bin__seed_42,attack_only,A4_only,A4,none,iid,fedprox,race_bin,42,completed,30,237.4918749332428,0.7206751054852321,0.052949429131667225,0.07153076453030627
40,r040__A4_only__split_dirichlet_0_5__opt_sgd__attr_race_bin__seed_42,attack_only,A4_only,A4,none,dirichlet_0_5,sgd,race_bin,42,completed,30,220.22582960128784,0.5181434599156118,0.0008787346221441124,0.0018331805682859762
41,r041__A4_only__split_dirichlet_0_5__opt_adamw__attr_race_bin__seed_42,attack_only,A4_only,A4,none,dirichlet_0_5,adamw,race_bin,42,completed,30,228.23367404937744,0.8810126582278481,0.11216954700165305,0.14485798726174526
42,r042__A4_only__split_dirichlet_0_5__opt_fedprox__attr_race_bin__seed_42,attack_only,A4_only,A4,none,dirichlet_0_5,fedprox,race_bin,42,completed,30,235.51232194900513,0.48241912798874825,0.0,0.0
43,r043__A4_only__split_strict_non_iid__opt_sgd__attr_race_bin__seed_42,attack_only,A4_only,A4,none,strict_non_iid,sgd,race_bin,42,completed,30,234.72086238861084,0.48241912798874825,0.0,0.0
44,r044__A4_only__split_strict_non_iid__opt_adamw__attr_race_bin__seed_42,attack_only,A4_only,A4,none,strict_non_iid,adamw,race_bin,42,completed,30,230.35992121696472,0.48241912798874825,0.0,0.0
45,r045__A4_only__split_strict_non_iid__opt_fedprox__attr_race_bin__seed_42,attack_only,A4_only,A4,none,strict_non_iid,fedprox,race_bin,42,completed,30,250.74644899368286,0.48241912798874825,0.0,0.0
46,r046__A5_only__split_iid__opt_sgd__attr_race_bin__seed_42,attack_only,A5_only,A5,none,iid,sgd,race_bin,42,completed,30,244.22096991539001,0.580028129395218,0.010419772696980148,0.01361959152976569
47,r047__A5_only__split_iid__opt_adamw__attr_race_bin__seed_42,attack_only,A5_only,A5,none,iid,adamw,race_bin,42,completed,30,227.03260254859924,0.9043600562587905,0.03412156080857326,0.07822451761498506
48,r048__A5_only__split_iid__opt_fedprox__attr_race_bin__seed_42,attack_only,A5_only,A5,none,iid,fedprox,race_bin,42,completed,30,258.81875228881836,0.8239099859353024,0.000815869713679529,0.016257726386048943
49,r049__A5_only__split_dirichlet_0_5__opt_sgd__attr_race_bin__seed_42,attack_only,A5_only,A5,none,dirichlet_0_5,sgd,race_bin,42,completed,30,240.55053853988647,0.7710267229254572,0.0940417807739185,0.10541522714987428
50,r050__A5_only__split_dirichlet_0_5__opt_adamw__attr_race_bin__seed_42,attack_only,A5_only,A5,none,dirichlet_0_5,adamw,race_bin,42,completed,30,228.33461380004883,0.8621659634317862,0.009452065335533666,0.05766880537732966
51,r051__A5_only__split_dirichlet_0_5__opt_fedprox__attr_race_bin__seed_42,attack_only,A5_only,A5,none,dirichlet_0_5,fedprox,race_bin,42,completed,30,256.3916611671448,0.6905766526019691,0.05582850452970867,0.11395097417095579
52,r052__A5_only__split_strict_non_iid__opt_sgd__attr_race_bin__seed_42,attack_only,A5_only,A5,none,strict_non_iid,sgd,race_bin,42,completed,30,244.50743174552917,0.5175808720112518,0.0,0.0
53,r053__A5_only__split_strict_non_iid__opt_adamw__attr_race_bin__seed_42,attack_only,A5_only,A5,none,strict_non_iid,adamw,race_bin,42,completed,30,233.18904638290405,0.48241912798874825,0.0,0.0
54,r054__A5_only__split_strict_non_iid__opt_fedprox__attr_race_bin__seed_42,attack_only,A5_only,A5,none,strict_non_iid,fedprox,race_bin,42,completed,30,254.76351618766785,0.5175808720112518,0.0,0.0
