condition_name,split_name,optimizer_name,final_val_accuracy,final_val_demographic_parity_gap,final_val_equalized_odds_gap
A5_D3,iid,fedprox,0.45457102672292543,0.05930565536838839,0.07416302380784512
A5_D3,dirichlet_0_5,sgd,0.4520393811533052,0.0635574530299512,0.07690691908152958
A5_D3,dirichlet_0_5,adamw,0.9257383966244725,0.031554748808314936,0.06647985312590587
A5_D3,dirichlet_0_5,fedprox,0.45879043600562586,0.06129500337340654,0.07326406025993559
A5_D3,strict_non_iid,sgd,0.4542897327707454,0.06589616503446916,0.07806000141013891
A5_D3,strict_non_iid,adamw,0.5170182841068917,0.0006849870354008445,0.0016025641025641025
A5_D3,strict_non_iid,fedprox,0.4613220815752461,0.05981441454563441,0.07488425109873331
A5_D4,iid,sgd,0.4559774964838256,0.06257497413263602,0.07989318197842488
A5_D4,iid,adamw,0.930239099859353,0.020816185755842265,0.04397848423358135
A5_D4,iid,fedprox,0.4542897327707454,0.062484970821063746,0.0794260734682366
A5_D4,dirichlet_0_5,sgd,0.45344585091420536,0.0662905306897551,0.08080389668382337
A5_D4,dirichlet_0_5,adamw,0.9189873417721519,0.039639588265766745,0.06816117499275293
A5_D4,dirichlet_0_5,fedprox,0.4509142053445851,0.06293120861393531,0.08559983783402669
A5_D4,strict_non_iid,sgd,0.45260196905766525,0.06121874102543312,0.0803367881736351
A5_D4,strict_non_iid,adamw,0.4849507735583685,0.20908284564363355,0.25171126230933755
A5_D4,strict_non_iid,fedprox,0.4542897327707454,0.06281372337516533,0.07371354203389036
A5_D5,iid,sgd,0.45288326300984527,0.06453306144546689,0.08309243460480853
A5_D5,iid,adamw,0.9226441631504922,0.007957048495982832,0.03978648146842467
A5_D5,iid,fedprox,0.4548523206751055,0.06360245468573733,0.07782938494441705
A5_D5,dirichlet_0_5,sgd,0.46216596343178623,0.06320121854865202,0.07693042139650752
A5_D5,dirichlet_0_5,adamw,0.6618846694796062,0.04206246367232748,0.09600401889586122
A5_D5,dirichlet_0_5,fedprox,0.45035161744022506,0.06736988338044192,0.08560571341277112
A5_D5,strict_non_iid,sgd,0.4520393811533052,0.06570241744772587,0.07920133258125928
A5_D5,strict_non_iid,adamw,0.5049226441631505,0.013952230914145103,0.024137597835539704
A5_D5,strict_non_iid,fedprox,0.45232067510548524,0.06892673455618747,0.08423964135467343
