run_index,run_key,category,condition_name,attack,defense,split_name,optimizer_name,protected_attr,seed,stopped_reason,finished_round,total_duration_sec,final_val_accuracy,final_val_demographic_parity_gap,final_val_equalized_odds_gap
81,r081__A1_D3__split_strict_non_iid__opt_fedprox__attr_race_bin__seed_42,attack_defense,A1_D3,A1,D3,strict_non_iid,fedprox,race_bin,42,completed,30,269.67171931266785,0.4559774964838256,0.06086250654413394,0.07691867023901855
82,r082__A2_D1__split_iid__opt_sgd__attr_race_bin__seed_42,attack_defense,A2_D1,A2,D1,iid,sgd,race_bin,42,completed,30,224.48068714141846,0.4548523206751055,0.06585116337868302,0.08263707725210934
83,r083__A2_D1__split_iid__opt_adamw__attr_race_bin__seed_42,attack_defense,A2_D1,A2,D1,iid,adamw,race_bin,42,completed,30,225.91841912269592,0.9285513361462728,0.011987616643604704,0.03229297516668277
84,r084__A2_D1__split_iid__opt_fedprox__attr_race_bin__seed_42,attack_defense,A2_D1,A2,D1,iid,fedprox,race_bin,42,completed,30,252.9307680130005,0.4559774964838256,0.06360245468573733,0.07714341112599599
85,r085__A2_D1__split_dirichlet_0_5__opt_sgd__attr_race_bin__seed_42,attack_defense,A2_D1,A2,D1,dirichlet_0_5,sgd,race_bin,42,completed,30,217.94273138046265,0.4520393811533052,0.06424244006535196,0.07759289289995064
86,r086__A2_D1__split_dirichlet_0_5__opt_adamw__attr_race_bin__seed_42,attack_defense,A2_D1,A2,D1,dirichlet_0_5,adamw,race_bin,42,completed,30,229.17703413963318,0.8286919831223629,0.022640642197674754,0.028252720392958786
87,r087__A2_D1__split_dirichlet_0_5__opt_fedprox__attr_race_bin__seed_42,attack_defense,A2_D1,A2,D1,dirichlet_0_5,fedprox,race_bin,42,completed,30,244.0397264957428,0.45147679324894513,0.06449493027148023,0.07804237467390529
88,r088__A2_D1__split_strict_non_iid__opt_sgd__attr_race_bin__seed_42,attack_defense,A2_D1,A2,D1,strict_non_iid,sgd,race_bin,42,completed,30,232.2365758419037,0.4551336146272855,0.06819674586500046,0.08423964135467343
89,r089__A2_D1__split_strict_non_iid__opt_adamw__attr_race_bin__seed_42,attack_defense,A2_D1,A2,D1,strict_non_iid,adamw,race_bin,42,completed,30,246.05665278434753,0.5175808720112518,0.0,0.0
90,r090__A2_D1__split_strict_non_iid__opt_fedprox__attr_race_bin__seed_42,attack_defense,A2_D1,A2,D1,strict_non_iid,fedprox,race_bin,42,completed,30,248.24258399009705,0.4520393811533052,0.056022595640541906,0.07188036146560439
91,r091__A2_D2__split_iid__opt_sgd__attr_race_bin__seed_42,attack_defense,A2_D2,A2,D2,iid,sgd,race_bin,42,completed,30,225.7322428226471,0.4537271448663854,0.06351245137416506,0.08331717549178597
92,r092__A2_D2__split_iid__opt_adamw__attr_race_bin__seed_42,attack_defense,A2_D2,A2,D2,iid,adamw,race_bin,42,completed,30,242.02097249031067,0.9383966244725739,0.02435551445480666,0.042619254678390825
93,r093__A2_D2__split_iid__opt_fedprox__attr_race_bin__seed_42,attack_defense,A2_D2,A2,D2,iid,fedprox,race_bin,42,completed,30,236.0433714389801,0.45344585091420536,0.0622843527525212,0.07164386942113798
